Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,231.03199999999998,231.03199999999998,screen dark,34.505460915200004
0,231.03199999999998,231.03199999999998,wifi running,0.490134388
0,231.03199999999998,231.03199999999998,audio,39.21075104
0,181.56,181.56,audio,30.814363200000003
182.163,231.03199999999998,48.86899999999997,audio,8.294046679999996
182.163,197.337,15.173999999999978,audio,2.5753312799999963
197.894,231.03199999999998,33.13799999999998,audio,5.624181359999996
197.894,213.058,15.163999999999987,audio,2.573634079999998
221.749,231.03199999999998,9.282999999999987,audio,1.5755107599999978

