Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,231.004,231.004,screen dark,35.0786042112
0,231.004,231.004,wifi running,0.49827562799999997
0,231.004,231.004,audio,39.86205024
0,180.073,180.073,audio,31.073396880000004
180.512,231.004,50.49199999999999,audio,8.712899519999999
180.512,195.671,15.158999999999992,audio,2.615837039999999
196.106,231.004,34.897999999999996,audio,6.02199888
196.106,211.27,15.164000000000016,audio,2.616699840000003
224.852,231.004,6.151999999999987,audio,1.0615891199999978

